language_name,language_code,country
Abé,aba,Cote d'Ivoire
Adioukrou,adj,Cote d'Ivoire
Alladian,ald,Cote d'Ivoire
Anyin,any,Cote d'Ivoire
Anyin Morofo,mtb,Cote d'Ivoire
Aproumu Aizi,ahp,Cote d'Ivoire
Attié,ati,Cote d'Ivoire
Avikam,avi,Cote d'Ivoire
Bakwé,bjw,Cote d'Ivoire
Bambara,bam,Cote d'Ivoire
Baoulé,bci,Cote d'Ivoire
Beng,nhb,Cote d'Ivoire
Beti,eot,Cote d'Ivoire
Bondoukou Kulango,kzc,Cote d'Ivoire
Bouna Kulango,nku,Cote d'Ivoire
Cebaara Sénoufo,sef,Cote d'Ivoire
Cerma,cme,Cote d'Ivoire
Daho-Doo,das,Cote d'Ivoire
Daloa Bété,bev,Cote d'Ivoire
Dan,dnj,Cote d'Ivoire
Djimini Sénoufo,dyi,Cote d'Ivoire
Ega,ega,Cote d'Ivoire
Esuma,esm,Cote d'Ivoire
Gagnoa Bété,btg,Cote d'Ivoire
Gban,ggu,Cote d'Ivoire
Gbin,xgb,Cote d'Ivoire
Glio-Oubi,oub,Cote d'Ivoire
Godié,god,Cote d'Ivoire
Goo,gov,Cote d'Ivoire
Guiberoua Bété,bet,Cote d'Ivoire
Guro,goa,Cote d'Ivoire
Guébie,gie,Cote d'Ivoire
Jeri Kuo,jek,Cote d'Ivoire
Jula,dyu,Cote d'Ivoire
Khisa,kqm,Cote d'Ivoire
Kla-Dan,lda,Cote d'Ivoire
Kodia,kwp,Cote d'Ivoire
Koro,kfo,Cote d'Ivoire
Kouya,kyf,Cote d'Ivoire
Koyaga,kga,Cote d'Ivoire
Krobu,kxb,Cote d'Ivoire
Lakota Dida,dic,Cote d'Ivoire
Lobi,lob,Cote d'Ivoire
Loma,loi,Cote d'Ivoire
Mahou,mxx,Cote d'Ivoire
Mbre,mka,Cote d'Ivoire
Mobumrin Aizi,ahm,Cote d'Ivoire
Mwan,moa,Cote d'Ivoire
Neyo,ney,Cote d'Ivoire
Ngen,gnj,Cote d'Ivoire
Nghlwa,gwa,Cote d'Ivoire
Nyabwa,nwb,Cote d'Ivoire
Nyarafolo Sénoufo,sev,Cote d'Ivoire
Nzema,nzi,Cote d'Ivoire
Palaka Sénoufo,plr,Cote d'Ivoire
Plapo Krumen,ktj,Cote d'Ivoire
Pye Krumen,pye,Cote d'Ivoire
Shempire Sénoufo,seb,Cote d'Ivoire
Southern Birifor,biv,Cote d'Ivoire
Tagwana Sénoufo,tgw,Cote d'Ivoire
Tchaman,ebr,Cote d'Ivoire
Tepo Krumen,ted,Cote d'Ivoire
Tiagbamrin Aizi,ahi,Cote d'Ivoire
Tonjon,tjn,Cote d'Ivoire
Toura,neb,Cote d'Ivoire
Téén,lor,Cote d'Ivoire
Wan,wan,Cote d'Ivoire
Wané,hwa,Cote d'Ivoire
Western Krahn,krw,Cote d'Ivoire
Wojenaka,jod,Cote d'Ivoire
Worodougou,jud,Cote d'Ivoire
Wè Northern,wob,Cote d'Ivoire
Wè Southern,gxx,Cote d'Ivoire
Wè Western,wec,Cote d'Ivoire
Yaouré,yre,Cote d'Ivoire
Yocoboué Dida,gud,Cote d'Ivoire
Alur,alz,"Congo, The Democratic Republic of the"
Amba,rwm,"Congo, The Democratic Republic of the"
Asoa,asv,"Congo, The Democratic Republic of the"
Aushi,auh,"Congo, The Democratic Republic of the"
Avokaya,avu,"Congo, The Democratic Republic of the"
Babango,bbm,"Congo, The Democratic Republic of the"
Baka,bdh,"Congo, The Democratic Republic of the"
Bali,bcp,"Congo, The Democratic Republic of the"
Baloi,biz,"Congo, The Democratic Republic of the"
Bangala,bxg,"Congo, The Democratic Republic of the"
Bangba,bbe,"Congo, The Democratic Republic of the"
Bangi,bni,"Congo, The Democratic Republic of the"
Bangubangu,bnx,"Congo, The Democratic Republic of the"
Barambu,brm,"Congo, The Democratic Republic of the"
Beeke,bkf,"Congo, The Democratic Republic of the"
Bemba,bem,"Congo, The Democratic Republic of the"
Bembe,bmb,"Congo, The Democratic Republic of the"
Bendi,bct,"Congo, The Democratic Republic of the"
Bhele,bhy,"Congo, The Democratic Republic of the"
Bila,bip,"Congo, The Democratic Republic of the"
Bindji,bpj,"Congo, The Democratic Republic of the"
Bira,brf,"Congo, The Democratic Republic of the"
Boguru,bqu,"Congo, The Democratic Republic of the"
Boko,bkp,"Congo, The Democratic Republic of the"
Bolia,bli,"Congo, The Democratic Republic of the"
Boloki,bkt,"Congo, The Democratic Republic of the"
Bolondo,bzm,"Congo, The Democratic Republic of the"
Boma,boh,"Congo, The Democratic Republic of the"
Bomboli,bml,"Congo, The Democratic Republic of the"
Bomboma,bws,"Congo, The Democratic Republic of the"
Bozaba,bzo,"Congo, The Democratic Republic of the"
Budja,bja,"Congo, The Democratic Republic of the"
Budu,buu,"Congo, The Democratic Republic of the"
Buraka,bkg,"Congo, The Democratic Republic of the"
Bushoong,buf,"Congo, The Democratic Republic of the"
Buyu,byi,"Congo, The Democratic Republic of the"
Bwa,bww,"Congo, The Democratic Republic of the"
Bwela,bwl,"Congo, The Democratic Republic of the"
Bwile,bwc,"Congo, The Democratic Republic of the"
Chokwe,cjk,"Congo, The Democratic Republic of the"
Congo Swahili,swc,"Congo, The Democratic Republic of the"
Dengese,dez,"Congo, The Democratic Republic of the"
Ding,diz,"Congo, The Democratic Republic of the"
Dongo,doo,"Congo, The Democratic Republic of the"
Dzando,dzn,"Congo, The Democratic Republic of the"
Eboo Teke,ebo,"Congo, The Democratic Republic of the"
